Genes,PAO1.LB.913,PAO1.LB.201,PAO1.LB.335,PAO1.Sputum.224,PAO1.Sputum.405,PAO1.Pyruvate.179,PAO1.Succinate.640
PA0438,0,0,1,0,0,0,0
PA2726,0,0,1,0,0,0,0
PA3800,0,0,0,0,0,1,0
PA4948,0,0,0,0,0,1,0
PA0213,0,0,0,0,1,0,0
PA1266,0,0,0,0,1,0,0
PA1695,0,0,0,0,1,0,0
PA1911,0,0,0,0,1,0,0
PA2023,0,0,0,0,1,0,0
PA4063,0,0,0,0,1,0,0
PA4065,0,0,0,0,1,0,0
PA5489,0,0,0,0,1,0,0
PA0171,0,0,0,0,0,0,1
PA0316,0,0,0,0,0,0,1
PA0428,0,0,0,0,0,0,1
PA0583,0,0,0,0,0,0,1
PA0649,0,0,0,0,0,0,1
PA0760,0,0,0,0,0,0,1
PA0764,0,0,0,0,0,0,1
PA0980,0,0,0,0,0,0,1
PA0984,0,0,0,0,0,0,1
PA1180,0,0,0,0,0,0,1
PA1183,0,0,0,0,0,0,1
PA1549,0,0,0,0,0,0,1
PA1674,0,0,0,0,0,0,1
PA1714,0,0,0,0,0,0,1
PA1743,0,0,0,0,0,0,1
PA1754,0,0,0,0,0,0,1
PA1756,0,0,0,0,0,0,1
PA1804,0,0,0,0,0,0,1
PA1838,0,0,0,0,0,0,1
PA1842,0,0,0,0,0,0,1
PA1929,0,0,0,0,0,0,1
PA2645,0,0,0,0,0,0,1
PA2668,0,0,0,0,0,0,1
PA2775,0,0,0,0,0,0,1
PA2963,0,0,0,0,0,0,1
PA2964,0,0,0,0,0,0,1
PA3005,0,0,0,0,0,0,1
PA3013,0,0,0,0,0,0,1
PA3160,0,0,0,0,0,0,1
PA3161,0,0,0,0,0,0,1
PA3164,0,0,0,0,0,0,1
PA3182,0,0,0,0,0,0,1
PA3463,0,0,0,0,0,0,1
PA3587,0,0,0,0,0,0,1
PA3662,0,0,0,0,0,0,1
PA3738,0,0,0,0,0,0,1
PA3832,0,0,0,0,0,0,1
PA3956,0,0,0,0,0,0,1
PA4125,0,0,0,0,0,0,1
PA4283,0,0,0,0,0,0,1
PA4292,0,0,0,0,0,0,1
PA4324,0,0,0,0,0,0,1
PA4335,0,0,0,0,0,0,1
PA4410,0,0,0,0,0,0,1
PA4430,0,0,0,0,0,0,1
PA4438,0,0,0,0,0,0,1
PA4455,0,0,0,0,0,0,1
PA4693,0,0,0,0,0,0,1
PA4732,0,0,0,0,0,0,1
PA4856,0,0,0,0,0,0,1
PA4941,0,0,0,0,0,0,1
PA4942,0,0,0,0,0,0,1
PA4951,0,0,0,0,0,0,1
PA5001,0,0,0,0,0,0,1
PA5192,0,0,0,0,0,0,1
PA5200,0,0,0,0,0,0,1
PA5203,0,0,0,0,0,0,1
PA5275,0,0,0,0,0,0,1
PA5280,0,0,0,0,0,0,1
PA5345,0,0,0,0,0,0,1
PA5460,0,0,0,0,0,0,1
PA0013,1,0,0,0,0,0,0
PA0014,1,0,0,0,0,0,0
PA0039,1,0,0,0,0,0,0
PA0042,1,0,0,0,0,0,0
PA0052,1,0,0,0,0,0,0
PA0094,1,0,0,0,0,0,0
PA0115,1,0,0,0,0,0,0
PA0116,1,0,0,0,0,0,0
PA0124,1,0,0,0,0,0,0
PA0131,1,0,0,0,0,0,0
PA0161,1,0,0,0,0,0,0
PA0179,1,0,0,0,0,0,0
PA0249,1,0,0,0,0,0,0
PA0252,1,0,0,0,0,0,0
PA0263.1,1,0,0,0,0,0,0
PA0291,1,0,0,0,0,0,0
PA0405,1,0,0,0,0,0,0
PA0409,1,0,0,0,0,0,0
PA0422,1,0,0,0,0,0,0
PA0456,1,0,0,0,0,0,0
PA0457.1,1,0,0,0,0,0,0
PA0493,1,0,0,0,0,0,0
PA0527.1,1,0,0,0,0,0,0
PA0568,1,0,0,0,0,0,0
PA0574.1,1,0,0,0,0,0,0
PA0597,1,0,0,0,0,0,0
PA0610,1,0,0,0,0,0,0
PA0647,1,0,0,0,0,0,0
PA0668.1,1,0,0,0,0,0,0
PA0668.2,1,0,0,0,0,0,0
PA0668.3,1,0,0,0,0,0,0
PA0668.4,1,0,0,0,0,0,0
PA0668.5,1,0,0,0,0,0,0
PA0671,1,0,0,0,0,0,0
PA0672,1,0,0,0,0,0,0
PA0714.1,1,0,0,0,0,0,0
PA0715,1,0,0,0,0,0,0
PA0723,1,0,0,0,0,0,0
PA0729.1,1,0,0,0,0,0,0
PA0762,1,0,0,0,0,0,0
PA0803,1,0,0,0,0,0,0
PA0826.2,1,0,0,0,0,0,0
PA0836.1,1,0,0,0,0,0,0
PA0887.1,1,0,0,0,0,0,0
PA0905.1,1,0,0,0,0,0,0
PA0905.2,1,0,0,0,0,0,0
PA0905.3,1,0,0,0,0,0,0
PA0908,1,0,0,0,0,0,0
PA0921,1,0,0,0,0,0,0
PA0922,1,0,0,0,0,0,0
PA0922.1,1,0,0,0,0,0,0
PA0928,1,0,0,0,0,0,0
PA0976.1,1,0,0,0,0,0,0
PA0985,1,0,0,0,0,0,0
PA1013.1,1,0,0,0,0,0,0
PA1030.1,1,0,0,0,0,0,0
PA1034,1,0,0,0,0,0,0
PA1087,1,0,0,0,0,0,0
PA1095,1,0,0,0,0,0,0
PA1109,1,0,0,0,0,0,0
PA1112.1,1,0,0,0,0,0,0
PA1114,1,0,0,0,0,0,0
PA1135,1,0,0,0,0,0,0
PA1139,1,0,0,0,0,0,0
PA1177,1,0,0,0,0,0,0
PA1209,1,0,0,0,0,0,0
PA1228,1,0,0,0,0,0,0
PA1229,1,0,0,0,0,0,0
PA1230,1,0,0,0,0,0,0
PA1299,1,0,0,0,0,0,0
PA1324.1,1,0,0,0,0,0,0
PA1348,1,0,0,0,0,0,0
PA1371,1,0,0,0,0,0,0
