Genes,LB_Model,Sputum_Model
PA1610,1,1
PA2967,1,1
PA3117,1,1
PA0025,1,1
PA0265,1,1
PA0350,1,1
PA1609,1,1
PA1796,1,1
PA2977,1,1
PA3164,1,1
PA3650,1,1
PA3770,1,1
PA3803,1,1
PA4557,1,1
PA4666,1,1
PA4759,1,1
PA3333,1,1
PA3645,1,1
PA3651,1,1
PA1010,1,1
PA2584,1,1
PA3639,1,1
PA4847,1,1
PA4848,1,1
PA3112,1,1
PA3659,1,1
PA5425,1,1
PA0330,1,1
PA0342,1,1
PA0432,1,1
PA0546,1,1
PA0548,1,1
PA0582,1,1
PA0607,1,1
PA0655,1,1
PA0904,1,1
PA0945,1,1
PA1013,1,1
PA1162,1,1
PA1681,1,1
PA1758,1,1
PA1792,1,1
PA1959,1,1
PA2629,1,1
PA2964,1,1
PA2968,1,1
PA2981,1,1
PA3108,1,1
PA3111,1,1
PA3134,1,1
PA3163,1,1
PA3171,1,1
PA3296,1,1
PA3627,1,1
PA3633,1,1
PA3637,1,1
PA3643,1,1
PA3644,1,1
PA3646,1,1
PA3654,1,1
PA3666,1,1
PA3686,1,1
PA3763,1,1
PA3769,1,1
PA3807,1,1
PA4003,1,1
PA4043,1,1
PA4044,1,1
PA4050,1,1
PA4406,1,1
PA4411,1,1
PA4412,1,1
PA4414,1,1
PA4415,1,1
PA4416,1,1
PA4417,1,1
PA4450,1,1
PA4569,1,1
PA4655,1,1
PA4662,1,1
PA4669,1,1
PA4670,1,1
PA4693,1,1
PA4748,1,1
PA4749,1,1
PA4750,1,1
PA4770,1,1
PA4854,1,1
PA4855,1,1
PA4938,1,1
PA4957,1,1
PA5034,1,1
PA5038,1,1
PA5039,1,1
PA5063,1,1
PA5223,1,1
PA5243,1,1
PA5259,1,1
PA5260,1,1
PA5278,1,1
PA5336,1,1
PA5357,1,1
PA5358,1,1
PA5549,1,1
PA5552,1,1
PA0402,0,1
PA2876,0,1
PA3050,0,1
PA3527,0,1
PA5331,0,1
