baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	id	Expected.1	Expected.2	Expected	Essentiality	Uncertainty
1101.22948864172	-10.2152951519714	1.06489760892783	-9.59274869839973	8.57690264392201e-22	9.55295416480034e-20	PA0001	0	0	9.98	Reduced	0
684.993648612605	-9.42469824285601	1.13113030553709	-8.33210656342631	7.94164148765099e-17	3.48244105864003e-15	PA0002	0	0	6.64	Reduced	0
768.078970062105	-0.00313404119077931	0.627574375360199	-0.00499389604456126	0.996015464009519	0.998803130233533	PA0003	9	9	6.83	Unchanged	0.00513557709706536
1837.22144173879	-11.0012165237902	1.03577058546989	-10.6212868738683	2.37267374577343e-26	5.28536803608489e-24	PA0004	0	0	15.35	Reduced	0
526.801074554622	-1.99743356825992	0.833292456291666	-2.3970378624918	0.0165282157189486	0.121112675445822	PA0005	8	5	4.63	Unchanged	0.100972607872104
443.320816882207	-8.02610039047887	1.37545541246237	-5.8352312388741	5.37160172193219e-09	1.05332570385353e-07	PA0006	1	0	3.82	Reduced	1.33226762955019e-15
1192.65756029767	-0.16488845384279	0.520842525117906	-0.316580244298337	0.751562128070713	0.94522346233645	PA0007	30	28	10.83	Unchanged	0.00558119607686769
1302.10559338697	-10.5035292466523	1.0363781844641	-10.134842091532	3.86998333766877e-24	6.73498037733668e-22	PA0008	0	0	12.61	Reduced	0
578.22922031614	-5.0377382922057	0.807313699474873	-6.24012486779619	4.37221730045479e-10	9.51128052587217e-09	PA0009	2	0	5.58	Reduced	1.52845232039844e-05
372.317970030318	-0.0414166722334322	0.909905926017011	-0.0455175321417325	0.963694800752942	0.994852517795227	PA0010	10	10	3.38	Unchanged	0.0052239486873793
738.334237441404	0.763859490351126	0.748929539988949	1.01993505338619	0.307759263600331	0.726541474773312	PA0011	15	13	5.82	Unchanged	0
174.450234808882	0.535702023702722	1.39698072620777	0.383471306119544	0.701370341617953	0.929318822497734	PA0012	1	1	1.54	Unchanged	0
526.721887890365	-0.414483643707231	0.898439742484378	-0.461337164984593	0.644556724846879	0.91012586223942	PA0013	7	6	4.26	Unchanged	0.00671871963777981
226.532703882942	-1.32799882044451	1.51761469037588	-0.875056645712618	0.38154308497035	0.784069652885204	PA0014	3	4	1.72	Unchanged	0.0237194263006585
222.673337363116	-3.33275642553078	1.37706161634741	-2.42019411910612	0.0155122237659347	0.114269277979485	PA0015	2	1	2.01	Reduced	0.0856518096313605
1023.34669767096	-1.1181205664642	0.597521640995314	-1.87126371624249	0.0613085370873713	0.323321252878381	PA0016	17	15	8.74	Unchanged	0.0163989677635024
899.660936304916	-1.58321998025416	0.613015426391266	-2.58267559362144	0.0098037458939149	0.0779958012617315	PA0017	15	11	8.02	Unchanged	0.0394291200640667
677.915741719507	-4.20136941248326	0.788503699683064	-5.3282811661784	9.91465591433326e-08	1.78111996086845e-06	PA0018	3	2	5.8	Reduced	0.0016529456075054
353.906307195676	-8.10348516045675	1.39070165317944	-5.82690409688551	5.64650382771776e-09	1.10334666023018e-07	PA0019	0	0	3.23	Reduced	6.66133814775094e-16
888.856211375085	1.48332724820147	0.690436091853892	2.14839181453939	0.0316826425010132	0.203742074004784	PA0020	24	21	6.83	Unchanged	0
658.73106122948	-0.50919980990686	0.734408103250074	-0.693347210704008	0.488091682142461	0.848256446524205	PA0021	15	12	6	Unchanged	0.00734027935325743
351.994530938507	-8.18810312434356	1.31970497938334	-6.20449513509421	5.48727708293965e-10	1.1844436463136e-08	PA0022	0	0	3.18	Reduced	2.22044604925031e-16
806.199684093727	0.53845809210512	0.756576479364164	0.711703452052391	0.476648429574935	0.842951763830681	PA0023	23	19	6.28	Unchanged	0
680.572692820965	-9.37758161207049	1.15543070743137	-8.11609173250873	4.8143683317639e-16	1.88811389011219e-14	PA0024	0	0	6.02	Reduced	0
558.524940600255	-1.46149744928435	0.810489292500303	-1.80322857168875	0.0713523250619236	0.356058331783022	PA0025	12	8	5.18	Unchanged	0.0307018637409514
711.273669424744	-0.353477999786542	0.771162071139255	-0.458370572173422	0.646686230064689	0.910848423198821	PA0026	20	15	6.02	Unchanged	0.00638002308736096
932.360152387903	0.455758378971667	0.715191090022594	0.637253994533502	0.523959412300847	0.8634239860088	PA0027	28	25	7.73	Unchanged	0
396.123358772904	-0.641407414720337	0.854966157634164	-0.750213805532631	0.453125945380389	0.830631464721326	PA0028	6	5	4.01	Unchanged	0.00844400179237415
1147.43208870099	-1.19581677543976	0.66780543459774	-1.79066643289609	0.0733468393842449	0.363406181966957	PA0029	21	14	9.28	Unchanged	0.018699859039309
661.850381115846	-0.395373677410214	0.715713717586726	-0.552418750255832	0.580661487117797	0.882568312059955	PA0030	13	12	6.04	Unchanged	0.00660779899147612
1191.72983614425	-0.746992451887424	0.617927032281211	-1.20886838229061	0.226713414911214	0.641398596987724	PA0031	12	11	9.64	Unchanged	0.00957493288657851
670.031902492085	-1.68514292254547	0.807071632694011	-2.08797193988897	0.0368003659380737	0.226704909191518	PA0032	9	7	5.67	Unchanged	0.0491169614917369
249.890651565344	-0.498180086597935	1.19519463995459	-0.416819210816461	0.676810649698856	0.922908724620791	PA0032a	2	2	2.31	Unchanged	0.00726139866087816
267.327039035858	-0.565351966069478	1.33591705742235	-0.423193912322911	0.672153788007864	0.922662087195265	PA0033	5	4	2.25	Unchanged	0.00777191213890882
438.997366199926	0.335286201340853	0.988534376816004	0.339175054711587	0.734477860104594	0.940511850062262	PA0034	5	7	3.95	Unchanged	0
603.477415451188	-0.634971032734459	0.781833375935654	-0.812156467450064	0.41670185518437	0.80745046329915	PA0035	7	5	4.89	Unchanged	0.0083828710967
844.351260042409	0.5786433115386	0.594075822476511	0.974022657792102	0.330045289276859	0.744138548980902	PA0036	21	21	7.62	Unchanged	0
572.009885724201	0.468571348084409	0.66877109002907	0.700645340491679	0.483524375276471	0.84607354261889	PA0037	20	18	5.56	Unchanged	0
196.010421818559	-0.772397527356923	1.5722857529033	-0.491257728393617	0.623244173531806	0.902282498853926	PA0038	2	2	1.4	Unchanged	0.00988695725808419
141.879356401563	0.0810014889885366	1.45556838185279	0.0556493875508822	0.955621119857547	0.994157790613277	PA0039	2	2	1.42	Unchanged	0
1188.17217363323	0.165010698538009	0.559866595241776	0.294732173593514	0.768198483353111	0.951406115779563	PA0040	44	34	10.51	Unchanged	0
7619.11731589285	-0.394341110124856	0.245874431126428	-1.60383130656675	0.108751241824426	0.458467574352934	PA0041	196	162	66.37	Unchanged	0.00660193415311217
461.333824139623	1.8439548215059	0.877657735787574	2.1009953496863	0.0356413744679118	0.221032087318264	PA0041a	24	23	4.55	Unchanged	0
249.880597225002	2.0034336843855	1.32784462366333	1.50878623046898	0.131353420690702	0.499782728783327	PA0042	7	7	2.27	Unchanged	0
1002.93497012386	-0.139892476876738	0.509467728300701	-0.274585550969718	0.78363466844593	0.954121191390008	PA0043	24	22	8.81	Unchanged	0.00549941326203773
1066.58777645255	-0.167171861603889	0.635220251154126	-0.263171492565226	0.792418402171493	0.956017781995894	PA0044	25	22	8.5	Unchanged	0.0055889210771114
515.126188300968	0.0673098583249802	0.920105186569055	0.073154525490688	0.941683152781207	0.991001831840415	PA0045	13	15	4.22	Unchanged	0
303.828174655906	0.770560699815106	1.28107844300473	0.601493768022337	0.547511161347772	0.872405655616399	PA0046	7	8	2.35	Unchanged	0
375.978137111933	-1.16251610881062	1.0550785611895	-1.10182895527704	0.270536039627106	0.691742518220089	PA0047	3	5	3.25	Unchanged	0.0176628831371677
254.049283220948	-1.97685706091323	1.37717743721628	-1.43544107497803	0.151161448317034	0.53546128847875	PA0048	3	3	2.2	Unchanged	0.0961280824836019
1252.92315005041	-0.0105430815202288	0.549497259403544	-0.0191867772583121	0.984692105881813	0.998421035363807	PA0049	32	31	11.06	Unchanged	0.00515190607603544
107.827989421796	-1.38596730191498	1.73934131462806	-0.796834577698369	0.425547110406971	0.812015548671937	PA0050	1	1	1.07	Unchanged	0.0264742859810898
1352.54679801796	0.89131084409226	0.517862271880891	1.7211349281248	0.0852263424756433	0.397549692208149	PA0051	31	31	11.53	Unchanged	0
317.069043161059	-0.986887750256219	1.24553456760244	-0.792340715325071	0.428162037251826	0.812988026407382	PA0052	4	2	2.59	Unchanged	0.0133294881939204
391.478307416511	-0.77299218046047	1.01381334494842	-0.762460056688049	0.445785474020721	0.825766567778939	PA0054	8	9	3.52	Unchanged	0.00989446497925428
362.682631691604	-1.04535512564531	0.969924283125638	-1.07776982578123	0.281136488498007	0.70161466323248	PA0055	6	6	3.33	Unchanged	0.0145856551044221
672.140615376405	-0.234151565738088	0.69818623065827	-0.335371216813203	0.737345077639044	0.940511850062262	PA0056	13	10	5.64	Unchanged	0.00583537790790423
626.764310080963	0.675294316366922	0.770686373436636	0.876224544305431	0.380907975901138	0.784069652885204	PA0057	22	18	5.43	Unchanged	0
583.082502964156	-1.3890963240001	0.899246935777235	-1.54473289675374	0.122410884258388	0.487792647119313	PA0058	8	8	4.8	Unchanged	0.0266343116102083
281.866928232915	-0.590793100104109	1.29570128131301	-0.455963969955655	0.648415887516483	0.911875777166489	PA0059	6	5	2.65	Unchanged	0.00798488637407524
140.947040436915	0.763219079885404	1.52154572863945	0.501607717415019	0.615943489704692	0.898721101898449	PA0060	3	3	1.45	Unchanged	0
358.949186324992	-0.141516248646833	1.10634760880313	-0.127913006292777	0.898217818068781	0.983066339855887	PA0061	10	9	2.9	Unchanged	0.00550457314581998
347.905873866481	-1.43143104259011	1.014747575313	-1.41062770428259	0.158354418273935	0.544465343656996	PA0062	4	3	2.75	Unchanged	0.028924322202368
786.368868782215	-0.31290530649937	0.657295001115664	-0.47605003228118	0.634038734033864	0.907338399197375	PA0063	12	14	6.74	Unchanged	0.00617838499073597
752.580489383015	0.0891065831638963	0.665349972116218	0.133924380999796	0.893462370705422	0.982985770408785	PA0064	22	23	6.81	Unchanged	0
