Ave,Std,Median,Max,Min,Overlap
0,0,0,0,0,0
155.25,3.914167481,157,164,145,115
152.72,3.59876522,153,160,144,111
148.86,4.487963701,149,159,138,111
146.9,4.682872295,147,157,136,111
145.12,4.805888644,145.5,155,133,111
143,5.402954672,143,157,131,111
140.3,5.774377399,140,153,126,111
137.69,5.239120521,138,150,125,111
136.23,5.930327805,137,150,123,111
134.76,5.756191221,135,148,122,111
132.31,5.179007744,133,146,119,111
129.72,5.88626204,130.5,141,117,111
128.86,5.829253985,129,143,116,111
126.47,5.4206023,127,141,112,111
123.88,5.41468262,124,135,111,111
122.09,5.421794775,122,135,112,111
119.58,4.561986099,119,132,111,111
117.89,3.676007386,118,129,111,111
116.35,3.577073461,116,125,111,111
114.71,3.049407957,115,124,111,111
112.91,2.425016922,111,119,111,111
0,0,0,0,0,0
0,0,0,0,0,
