Ave,Std,Med,Max,Min
0,0,0,0,0
155.094,4.939023376,157,166,138
153.398,5.245056457,154,159,136
151.806,5.632745302,153,159,133
150.588,5.84898943,152,159,132
149.394,5.830501994,150.5,159,131
149.066,6.191147277,150,159,130
147.2,6.167664076,148,159,131
146.23,6.323057973,146,159,128
145.238,6.055302584,145,159,127
143.678,6.205750452,143,158,127
143.278,6.208527008,143,159,126
142.728,6.235686295,143,158,126
141.342,6.471537499,141,159,127
141.478,6.060608712,141,157,126
140.904,5.778023461,140.5,157,124
139.482,6.414356081,139,158,125
139.654,6.09430596,139,157,125
138.556,6.024570932,139,153,124
138.236,6.600867132,138,158,123
137.804,5.923830478,138,152,125
137.568,6.025777626,138,153,123
136.86,5.995021314,137,152,123
136.378,6.06735045,136,152,124
135.336,5.546948826,135,152,124
135.236,5.754522836,136,152,123
135.412,5.844190716,136,153,123
134.56,5.579665342,135,152,123
134.184,5.867793965,134,153,123
133.076,5.428181492,133,148,122
133.638,5.579715266,134,149,123
133.462,5.879940766,134,149,122
132.714,5.418757225,133,149,122
132.29,5.644965125,132,148,122
132.328,5.60099619,132,147,122
131.928,5.374810991,132,150,122
131.73,5.496683278,132,147,122
131.528,5.364958673,132,148,122
131.378,5.322007472,131,146,122
130.568,5.038267985,130,146,122
130.836,4.987067845,131,145,122
0,0,0,0,0
